14	14.0
19	5.0
27	8.0
34	7.0
39	5.0
45	6.0
51	6.0
57	6.0
76	19.0
81	5.0
90	9.0
106	16.0
112	6.0
117	5.0
122	5.0
137	15.0
142	5.0
149	7.0
155	6.0
168	13.0
178	10.0
184	6.0
190	6.0
198	8.0
203	5.0
209	6.0
221	12.0
229	8.0
238	9.0
245	7.0
252	7.0
258	6.0
275	17.0
281	6.0
292	11.0
300	8.0
309	9.0
315	6.0
319	4.0
326	7.0
332	6.0
340	8.0
351	11.0
361	10.0
366	5.0
377	11.0
384	7.0
389	5.0
400	11.0
412	12.0
419	7.0
433	14.0
449	16.0
455	6.0
461	6.0
494	33.0
499	5.0
505	6.0
517	12.0
525	8.0
544	19.0
550	6.0
557	7.0
562	5.0
568	6.0
581	13.0
605	24.0
610	5.0
619	9.0
627	8.0
635	8.0
641	6.0
649	8.0
661	12.0
666	5.0
674	8.0
680	6.0
685	5.0
691	6.0
703	12.0
711	8.0
716	5.0
729	13.0
738	9.0
767	29.0
772	5.0
790	18.0
799	9.0
805	6.0
810	5.0
820	10.0
828	8.0
835	7.0
845	10.0
855	10.0
862	7.0
872	10.0
885	13.0
890	5.0
898	8.0
910	12.0
925	15.0
930	5.0
938	8.0
952	14.0
959	7.0
971	12.0
979	8.0
988	9.0
997	9.0
1016	19.0
1022	6.0
1027	5.0
1033	6.0
1043	10.0
1062	19.0
1068	6.0
1074	6.0
1079	5.0
1088	9.0
1096	8.0
1101	5.0
1110	9.0
1133	23.0
1140	7.0
1148	8.0
1153	5.0
1158	5.0
1165	7.0
1171	6.0
1179	8.0
1195	16.0
1202	7.0
1213	11.0
1218	5.0
1231	13.0
1237	6.0
1242	5.0
1250	8.0
1260	10.0
1265	5.0
1272	7.0
1278	6.0
1285	7.0
1297	12.0
1303	6.0
1313	10.0
1318	5.0
1329	11.0
1346	17.0
1353	7.0
1365	12.0
1374	9.0
1382	8.0
1390	8.0
